sample_id,class,mask_coverage,input_full_RMSE,input_full_MAE,input_full_REL,input_full_δ1.05,input_full_δ1.10,input_full_δ1.25,input_full_n_valid,pred_full_RMSE,pred_full_MAE,pred_full_REL,pred_full_δ1.05,pred_full_δ1.10,pred_full_δ1.25,pred_full_n_valid,input_mask_RMSE,input_mask_MAE,input_mask_REL,input_mask_δ1.05,input_mask_δ1.10,input_mask_δ1.25,input_mask_n_valid,pred_mask_RMSE,pred_mask_MAE,pred_mask_REL,pred_mask_δ1.05,pred_mask_δ1.10,pred_mask_δ1.25,pred_mask_n_valid
000000772,heart-bath-bomb-train,0.01965332,0.2555787,0.035827994,0.052969433,0.9803466796875,0.9803466796875,0.9803466796875,16384,0.020521538,0.018437967,0.026438517,0.970703125,0.9874267578125,1.0,16384,1.8230839,1.8229996,2.69519,0.0,0.0,0.0,322,0.0745803,0.07256941,0.10724008,0.015527950310559006,0.40372670807453415,1.0,322
000005139,stemless-plastic-champagne-glass-train,0.057922363,0.509995,0.122693524,0.32980025,0.94207763671875,0.94207763671875,0.94207763671875,16384,0.044171665,0.041993055,0.07912615,0.0101318359375,0.91839599609375,0.97027587890625,16384,2.1190574,2.118241,5.693833,0.0,0.0,0.0,949,0.09255318,0.087770306,0.24424472,0.005268703898840885,0.037934668071654375,0.48893572181243417,949
000005794,square-plastic-bottle-train,0.105285645,0.6445697,0.20912209,0.40887618,0.89471435546875,0.89471435546875,0.89471435546875,16384,0.027931517,0.026397562,0.03965406,0.7640380859375,0.976318359375,0.999755859375,16384,1.9864849,1.9862356,3.883494,0.0,0.0,0.0,1725,0.032152273,0.022980396,0.045256585,0.6776811594202898,0.8081159420289855,0.998840579710145,1725
000002082,cup-with-waves-train,0.04425049,0.41149032,0.086451516,0.16645941,0.95574951171875,0.95574951171875,0.95574951171875,16384,0.019080197,0.0076353983,0.012733775,0.953857421875,0.9752197265625,0.98944091796875,16384,1.956143,1.953685,3.761753,0.0,0.0,0.0,725,0.08625593,0.07669064,0.16094486,0.041379310344827586,0.4579310344827586,0.7613793103448275,725
000001952,cup-with-waves-train,0.0446167,0.42976168,0.0907682,0.19578516,0.95538330078125,0.95538330078125,0.95538330078125,16384,0.059837975,0.055952087,0.09281583,0.00665283203125,0.6619873046875,0.9617919921875,16384,2.0345995,2.0343997,4.388159,0.0,0.0,0.0,731,0.1511271,0.14879084,0.32212225,0.0,0.0,0.1491108071135431,731
000001215,heart-bath-bomb-train,0.055114746,0.4804868,0.112790704,0.24988851,0.94488525390625,0.94488525390625,0.94488525390625,16384,0.020513974,0.010572536,0.022711927,0.940185546875,0.94500732421875,0.99981689453125,16384,2.0466688,2.0464706,4.533968,0.0,0.0,0.0,903,0.0821988,0.081575,0.18080074,0.0,0.005537098560354375,0.9966777408637874,903
000009403,heart-bath-bomb-train,0.02520752,0.32718015,0.05194448,0.11841424,0.97479248046875,0.97479248046875,0.97479248046875,16384,0.039025906,0.038010426,0.06269094,0.303466796875,0.94964599609375,0.9996337890625,16384,2.0607338,2.060674,4.697576,0.0,0.0,0.0,413,0.09034897,0.089879215,0.2050514,0.0,0.0,0.9854721549636803,413
000010322,heart-bath-bomb-train,0.012145996,0.18211283,0.020067722,0.023707552,0.98785400390625,0.98785400390625,0.98785400390625,16384,0.07029316,0.070024714,0.08062552,0.0006103515625,0.7384033203125,0.99993896484375,16384,1.6524334,1.6522088,1.9518819,0.0,0.0,0.0,199,0.09801664,0.09377713,0.11035649,0.03015075376884422,0.33668341708542715,1.0,199
000011261,square-plastic-bottle-train,0.047546387,0.35118392,0.07650766,0.086628035,0.95245361328125,0.95245361328125,0.95245361328125,16384,0.033750236,0.032346226,0.03111741,0.958251953125,0.99267578125,0.9998779296875,16384,1.6105561,1.6091161,1.8219688,0.0,0.0,0.0,779,0.067751564,0.06162128,0.06964833,0.2554557124518614,0.8536585365853658,0.9974326059050064,779
000005894,stemless-plastic-champagne-glass-train,0.05340576,0.4659022,0.107641354,0.22462988,0.94659423828125,0.94659423828125,0.94659423828125,16384,0.036481086,0.036032163,0.05976882,0.0748291015625,0.9757080078125,0.99969482421875,16384,2.0160472,2.0155382,4.2060986,0.0,0.0,0.0,875,0.039377853,0.033098023,0.07170461,0.3954285714285714,0.6822857142857143,0.9954285714285714,875
